Pressure (psi),PI (psi/bbl),Initial Watercut (%),GOR (scf/stb),Temperature Res. (F),ID tubing (in),FTP(Flowing Tubing Pressure) (psig),Killing Fluid (psi/),Max CHP (Psig),Gas Gravity,API,Depth of Reservoir,Depth of Tubing,Max Depth Injection,AOF (STB/d),Max Oil Rate (STB/d),Injected Gas Rate (MMscf/D),Injection Pressure (psig),Liquid rate (STB/d)
497.09,0.936,10.49,217.133,172.97,2.549734399,91.63,0.242,696.39,0.755,43.805,3230,2730,2670,259.4,175.861,0.10404,671.39,196.46
497.94,1.001,10.71,246.626,174.1,2.353766756,104.74,0.394,688.35,0.909,46.535,3231,2822,2762,279.4,186.018,0.12983,613.354,208.33
498.67,1.307,25.21,215.403,179.83,2.343327769,96.64,0.415,692.08,1.016,46.068,3216,2798,2738,370.5,230.596,0.53661,617.081,308.316
498.77,1.346,20.52,238.563,177.92,2.550465503,98.71,0.486,685.93,0.945,44.316,3092,2854,2794,379.5,252.79,0.53114,560.92,318.063
499.05,1.41,21.7,247.821,173.29,2.539589593,94.77,0.582,686.41,0.738,46.053,3296,2498,2438,400.2,230.318,0.11791,561.41,294.141
499.76,1.637,26.54,240.627,177.08,2.374920525,98.67,0.505,694.47,0.97,43.676,3108,2762,2702,466.5,246.916,0.032926,569.46,336.122
501.29,1.556,20.69,214.304,173.57,2.374914584,109.54,0.535,683.82,0.764,44.758,3207,2721,2661,441.3,253.912,0.15535,558.822,320.147
503.49,0.864,14.26,233.685,180.98,2.600020879,94.46,0.575,687.77,0.954,43.151,3275,2780,2720,244,176.715,0.53467,562.76,206.081
504.09,0.712,5,235.42,177.13,2.444316336,104.52,0.536,694.96,0.93,45.936,3344,2738,2678,199.7,141.937,0.12791,569.96,149.408
504.83,1.702,20.13,185.248,180.38,2.644208237,101.18,0.353,688.41,0.936,46.737,3262,2719,2659,487.7,322.561,0.56844,613.41,403.807
504.95,2.237,19.4,203.592,173.01,2.439858558,97.56,0.531,685.33,0.888,44.696,3082,2829,2769,640.3,427.865,0.50286,560.331,530.85
505.53,0.555,13.99,225.964,174.11,2.52787062,98.75,0.571,682.31,0.927,46.54,3052,2755,2695,158.1,102.682,0.17525,557.312,119.389
506.25,1.868,15.09,208.942,174.65,2.373086333,107.78,0.538,685.54,1.041,43.405,3389,2743,2683,533.2,367.398,0.59976,560.541,432.691
506.62,1.558,23.46,207.014,171.96,2.430753316,100.69,0.462,690.33,1.036,40.248,3356,2708,2648,449.7,253.167,0.11891,565.33,330.755
507.01,1.229,23.23,206.315,174.98,2.597232244,94.36,0.469,689.82,0.887,47.35,3188,2912,2852,355.1,231.47,0.48223,564.81,301.522
